file,dtype,min,max,mean,p0.5,p1,p50,p99,p99.5,spacing,size
LNDb-0001_ct.nii.gz,float32,0.0,1.0,0.2986709177494049,0.0,0.0,0.07071428745985031,1.0,1.0,"(1.0, 1.0, 1.0)","(311, 311, 328)"
LNDb-0002_ct.nii.gz,float32,0.0,1.0,0.36373957991600037,0.0,0.0,0.4342857003211975,0.9528571367263794,1.0,"(1.0, 1.0, 1.0)","(371, 371, 263)"
LNDb-0003_ct.nii.gz,float32,0.0,1.0,0.4064815640449524,0.0,0.0,0.5542857050895691,1.0,1.0,"(1.0, 1.0, 1.0)","(382, 382, 301)"
LNDb-0004_ct.nii.gz,float32,0.0,1.0,0.33353182673454285,0.0,0.0,0.11642856895923615,1.0,1.0,"(1.0, 1.0, 1.0)","(365, 365, 322)"
LNDb-0005_ct.nii.gz,float32,0.0,1.0,0.3351196348667145,0.0,0.0,0.1128571406006813,0.9957143068313599,1.0,"(1.0, 1.0, 1.0)","(357, 357, 334)"
LNDb-0007_ct.nii.gz,float32,0.0,1.0,0.27877336740493774,0.0,0.0,0.08428571373224258,1.0,1.0,"(1.0, 1.0, 1.0)","(334, 334, 263)"
LNDb-0008_ct.nii.gz,float32,0.0,1.0,0.2584466338157654,0.0,0.0,0.0657142847776413,1.0,1.0,"(1.0, 1.0, 1.0)","(334, 334, 328)"
LNDb-0010_ct.nii.gz,float32,0.0,1.0,0.38810205459594727,0.0,0.0,0.4807142913341522,1.0,1.0,"(1.0, 1.0, 1.0)","(334, 334, 293)"
LNDb-0011_ct.nii.gz,float32,0.0,1.0,0.31600239872932434,0.0,0.0,0.09785714000463486,1.0,1.0,"(1.0, 1.0, 1.0)","(304, 304, 342)"
LNDb-0013_ct.nii.gz,float32,0.0,1.0,0.2901707589626312,0.0,0.0,0.07071428745985031,1.0,1.0,"(1.0, 1.0, 1.0)","(334, 334, 384)"
LNDb-0015_ct.nii.gz,float32,0.0,1.0,0.347503125667572,0.0,0.0,0.14785714447498322,0.9757142663002014,1.0,"(1.0, 1.0, 1.0)","(358, 358, 328)"
LNDb-0016_ct.nii.gz,float32,0.0,1.0,0.43720340728759766,0.0,0.0,0.6114285588264465,0.9671428799629211,1.0,"(1.0, 1.0, 1.0)","(309, 309, 326)"
LNDb-0017_ct.nii.gz,float32,0.0,1.0,0.39408260583877563,0.0,0.0,0.5478571653366089,1.0,1.0,"(1.0, 1.0, 1.0)","(361, 361, 276)"
LNDb-0018_ct.nii.gz,float32,0.0,1.0,0.43001997470855713,0.0,0.0,0.6028571724891663,1.0,1.0,"(1.0, 1.0, 1.0)","(273, 273, 323)"
LNDb-0021_ct.nii.gz,float32,0.0,1.0,0.36259689927101135,0.0,0.0,0.15857142210006714,1.0,1.0,"(1.0, 1.0, 1.0)","(334, 334, 328)"
LNDb-0024_ct.nii.gz,float32,0.0,1.0,0.32151535153388977,0.0,0.0,0.09642857313156128,1.0,1.0,"(1.0, 1.0, 1.0)","(374, 374, 358)"
LNDb-0025_ct.nii.gz,float32,0.0,1.0,0.3632439970970154,0.0,0.0,0.21642857789993286,0.9685714244842529,1.0,"(1.0, 1.0, 1.0)","(407, 407, 328)"
LNDb-0026_ct.nii.gz,float32,0.0,1.0,0.26113906502723694,0.0,0.0,0.06071428582072258,0.9850000143051147,1.0,"(1.0, 1.0, 1.0)","(334, 334, 328)"
LNDb-0028_ct.nii.gz,float32,0.0,1.0,0.342598557472229,0.0,0.0,0.12071428447961807,0.9971428513526917,1.0,"(1.0, 1.0, 1.0)","(368, 368, 364)"
LNDb-0031_ct.nii.gz,float32,0.0,1.0,0.26206469535827637,0.0,0.0,0.0714285746216774,1.0,1.0,"(1.0, 1.0, 1.0)","(311, 311, 353)"
LNDb-0034_ct.nii.gz,float32,0.0,1.0,0.34473884105682373,0.0,0.0,0.1371428519487381,1.0,1.0,"(1.0, 1.0, 1.0)","(334, 334, 314)"
LNDb-0035_ct.nii.gz,float32,0.0,1.0,0.3921835720539093,0.0,0.0,0.4278571307659149,1.0,1.0,"(1.0, 1.0, 1.0)","(270, 270, 284)"
LNDb-0037_ct.nii.gz,float32,0.0,1.0,0.34906265139579773,0.0,0.0,0.14142857491970062,1.0,1.0,"(1.0, 1.0, 1.0)","(368, 368, 316)"
LNDb-0039_ct.nii.gz,float32,0.0,1.0,0.46201756596565247,0.0,0.0,0.6192857027053833,1.0,1.0,"(1.0, 1.0, 1.0)","(359, 359, 328)"
LNDb-0041_ct.nii.gz,float32,0.0,1.0,0.3323344588279724,0.0,0.0,0.1007142886519432,1.0,1.0,"(1.0, 1.0, 1.0)","(308, 308, 351)"
LNDb-0043_ct.nii.gz,float32,0.0,1.0,0.4374968707561493,0.0,0.0,0.6085714101791382,1.0,1.0,"(1.0, 1.0, 1.0)","(313, 313, 308)"
LNDb-0044_ct.nii.gz,float32,0.0,1.0,0.4120262563228607,0.0,0.0,0.595714271068573,1.0,1.0,"(1.0, 1.0, 1.0)","(262, 262, 290)"
